unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|Handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|Warning|suitable_for|standard_drinks|grape_variety|retail_limit
380610|auchan||||||||2025-10-28|ALPRO banános szójaital 250 ml|Alpro||0.25|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||719.00|719.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/alpro-bananos-szojaital-250-ml.p-380610||"Az Alpro növényi alapú termékcsaládjának kedvelt itala 100%-ban növényi alapú, vegán, természetes módon laktózmentes. Kalciumforrás és B2-, B12- és D-vitamint tartalmaz. Adjuk az ívet! Az Alpro Banános Szójaitalban egybekel a lágy szójaital az érett banánnal, hogy megszülethessen ""A"" trópusi csoda. Annyira édesen banános, hogy nem is érted, miért nincs banán formája a doboznak. És mivel növényi alapú, még a bolygónak is kedvez. Banánulj meg! Hmmm, csak nem megkóstolnád? Jó úton jársz!* *A termék kalciumforrás. A kalcium szükséges a normál csontozat fenntartásához. A jó egészséghez változatos, kiegyensúlyozott étrend és egészséges életmód javasolt. https://www.alpro.com/hu/, https://www.facebook.com/AlproMagyarorszag, https://www.instagram.com/alpro/, https://www.youtube.com/watch?v=KfeMRWi9VvA&list=PLc57pHYnmK3riLR2dysP4svd9mBFVVFqy&index=11"|||||Belgium|Szójabab és belőle készült termékek||||Energia (kJ / kcal): 243/58; Zsír (g): 1.8000;  Telített zsírsavak  (g): 0.3000;  Egyszeresen telítetlen zsírsavak  (g): 0.40000;  Többszörösen telítetlen zsírsavak  (g): 1.10000; Szénhidrát  (g): 7.3000;  Cukrok  (g): 6.0000; Rost  (g): 0.6000; Fehérje (g): 3.0000; Só (g): 0.1400; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000|Energia (kJ / kcal): 243/58; Zsír (g): 1.8000;  Telített zsírsavak  (g): 0.3000;  Egyszeresen telítetlen zsírsavak  (g): 0.40000;  Többszörösen telítetlen zsírsavak  (g): 1.10000; Szénhidrát  (g): 7.3000;  Cukrok  (g): 6.0000; Rost  (g): 0.6000; Fehérje (g): 3.0000; Só (g): 0.1400; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33588552/01_110647_front_1615911544.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33588555/01_110647_front_064406272.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33588558/01_110647_front_1615911698.png||||||||||származási ország: Belgium, forgalmazó: Danone Kft., 1134 Budapest, Váci út 35. 06-80-88-77-88 www.alpro.com, töltő súly: 0.250, gyártó és/vagy élelmiszer vállalkozó telephely ország: Belgium, laktózmentes: Nem, növényi uht ital fajtája: Szójaital||Danone Kft., 1134 Budapest, Váci út 35. 06-80-88-77-88 www.alpro.com|||||||||||Szója összetevő (ivóvíz, hántolt szójabab (7,8%)); Cukor; Maltodextrin; Banánlé sűrítményből (1,2%); Aroma; Kalcium-karbonát; Stabilizátorok (szentjánoskenyérliszt, gellángumi); Tengeri só; Savanyúságot szabályozó anyag (kálium-foszfátok); Természetes aroma; Vitaminok (B2, B12, D2)||1||380610P||||||||
704231|auchan||||||||2025-10-28|Riso Scotti bio rizsital 1 l|Riso||1.0|LITER||Tudatos táplálkozás|Egészséges életmód|Bio termékek|Mag és gabonaitalok||||779.00|779.00||||||0.00||||||||HUF|Tudatos táplálkozás > Egészséges életmód > Bio termékek > Mag és gabonaitalok|https://auchan.hu/shop/riso-scotti-bio-rizsital-1-l.p-704231|||||||Olaszország|||||Energia (kJ / kcal): 274/65; Zsír (g): 0.7000;  Telített zsírsavak  (g): 0.1700;  Ebből koleszterin: 0.0000; Szénhidrát  (g): 9.3000;  Cukrok  (g): 5.5000; Fehérje (g): 0.0000; Só (g): 0.0400|Energia (kJ / kcal): 274/65; Zsír (g): 0.7000;  Telített zsírsavak  (g): 0.1700;  Ebből koleszterin: 0.0000; Szénhidrát  (g): 9.3000;  Cukrok  (g): 5.5000; Fehérje (g): 0.0000; Só (g): 0.0400||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34301664/01_332360_front_141237.png||||||||||||||származási ország: Olaszország, forgalmazó: Asix Distribution Kft. 1095 Budapest, Soroksári út 160., felhasználási javaslat: Fogyasztás előtt jól rázza fel., gyártó és/vagy élelmiszer vállalkozó telephely ország: Olaszország, oltalom alatt álló eredet megjelölés: Nem, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: Riso Scotti, zsírtartalom fajtája: Növényi eredetű, laktózmentes: Igen, növényi uht ital fajtája: Rizsital||Asix Distribution Kft. 1095 Budapest, Soroksári út 160.|||||||||||Víz; Rizs* 12%; Napraforgó olaj*; Stabilizátorok: gellan gumi; Só; *Ökológiai gazdálkodásból származnak||1||704231P||||||||
704232|auchan||||||||2025-10-28|Riso Scotti rizsital kalciummal 1 l|Riso||1.0|LITER||Tudatos táplálkozás|Egészséges életmód|Bio termékek|Mag és gabonaitalok||||779.00|779.00||||||0.00||||||||HUF|Tudatos táplálkozás > Egészséges életmód > Bio termékek > Mag és gabonaitalok|https://auchan.hu/shop/riso-scotti-rizsital-kalciummal-1-l.p-704232||Scotti bio rizsital kalciummal 1 l|||||Olaszország|||||Energia (kJ / kcal): 274/65; Zsír (g): 0.7000;  Telített zsírsavak  (g): 0.1700;  Ebből koleszterin: 0.0000; Szénhidrát  (g): 9.3000;  Cukrok  (g): 5.5000; Rost  (g): 0.0000; Fehérje (g): 0.0000; Só (g): 0.0400; Kalcium (mg): 120.0000|Energia (kJ / kcal): 274/65; Zsír (g): 0.7000;  Telített zsírsavak  (g): 0.1700;  Ebből koleszterin: 0.0000; Szénhidrát  (g): 9.3000;  Cukrok  (g): 5.5000; Rost  (g): 0.0000; Fehérje (g): 0.0000; Só (g): 0.0400; Kalcium (mg): 120.0000||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34301667/01_332361_front_141822.png||||||||||||||származási ország: Olaszország, forgalmazó: Asix Distribution Kft. 1095 Budapest, Soroksári út 160., felhasználási javaslat: Fogyasztás előtt jól rázza fel., gyártó és/vagy élelmiszer vállalkozó telephely ország: Olaszország, oltalom alatt álló eredet megjelölés: Nem, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: Riso Scotti, zsírtartalom fajtája: Növényi eredetű, laktózmentes: Igen, növényi uht ital fajtája: Rizsital||Asix Distribution Kft. 1095 Budapest, Soroksári út 160.|||||||||||Víz; Rizs (12%); Napraforgó olaj; Lithothamnium calcareum alga; Stabilizátorok: gellan gumi só||1||704232P||||||||
981458|auchan||||||||2025-10-28|Mizo protein csokoládés tejital 500 ml|Mizo||0.5|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||859.00|859.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/mizo-protein-csokolades-tejital-500-ml.p-981458||Ultramagas hőmérsékleten hőkezelt (UHT), homogénezett, sovány, csokoládé ízű tej, édesítőszerekkel*, 0% zsírtartalom *Hozzáadott cukrot nem tartalmaz. Természetes módon előforduló cukrokat tartalmaz|||||Magyarország|||||Energia (kJ / kcal): 171/40; Szénhidrát  (g): 4,8;  Cukrok  (g): 4,6; Fehérje (g): 5; Só (g): 0,14|Energia (kJ / kcal): 171/40; Szénhidrát  (g): 4,8;  Cukrok  (g): 4,6; Fehérje (g): 5; Só (g): 0,14||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34835615/01_159164107_front_1754308314.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34835621/01_159164107_front_5093706.png||||||||||||származási ország: Magyarország, forgalmazó: Sole-Mizo Zrt. 6728 Szeged, Budapesti út. 6, gyártó és/vagy élelmiszer vállalkozó telephely ország: Magyarország, felhasználási feltételek: Fogyasztás előtt felrázandó, felbontás után hűtve tárolva 3 napig fogyasztható, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: PROTE!N, laktózmentes: Nem, növényi uht ital fajtája: Egyéb||Sole-Mizo Zrt. 6728 Szeged, Budapesti út. 6|||||||||||Fölözött tej, tejfehérje-koncentrátum, zsírszegény kakaópor* (1,4%), stabilizátorok* (cellulóz,&nbsp; cellulózgumi, karragén, guargumi, xantángumi), aroma*, édesítőszerek* (ciklamátok, szacharinok),&nbsp; savanyúságot szabályozó anyag* (nátrium-foszfátok) *Az összetevő 2% alatti||1||981458P||||||||
981459|auchan||||||||2025-10-28|Mizo protein vaníliás tejital 500 ml|Mizo||0.5|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||859.00|859.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/mizo-protein-vanilias-tejital-500-ml.p-981459||Ultramagas hőmérsékleten hőkezelt (UHT), homogénezett, sovány, vanília ízű tej, édesítőszerekkel*, 0% zsírtartalom *Hozzáadott cukrot nem tartalmaz. Természetes módon előforduló cukrokat tartalmaz|||||Magyarország|||||Energia (kJ / kcal): 167/39; Szénhidrát  (g): 4,8;  Cukrok  (g): 4,7; Fehérje (g): 5; Só (g): 0,14|Energia (kJ / kcal): 167/39; Szénhidrát  (g): 4,8;  Cukrok  (g): 4,7; Fehérje (g): 5; Só (g): 0,14||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34835618/01_159164108_front_1754308353.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34835624/01_159164108_front_82093635.png||||||||||||származási ország: Magyarország, forgalmazó: Sole-Mizo Zrt. 6728 Szeged, Budapesti út. 6, gyártó és/vagy élelmiszer vállalkozó telephely ország: Magyarország, felhasználási feltételek: Fogyasztás előtt felrázandó, felbontás után hűtve tárolva 3 napig fogyasztható, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: PROTE!N, laktózmentes: Nem, növényi uht ital fajtája: Egyéb||Sole-Mizo Zrt. 6728 Szeged, Budapesti út. 6|||||||||||Fölözött tej, tejfehérje-koncentrátum, stabilizátorok* (cellulóz, cellulózgumi, karragén, guargumi,&nbsp; xantángumi), aroma*, édesítőszerek* (ciklamátok, szacharinok), színezék* (karotinok),&nbsp; savanyúságot szabályozó anyag* (nátrium-foszfátok) *Az összetevő 2% alatti||1||981459P||||||||
362163|auchan||||||||2025-10-28|The Bridge Bio UHT gluténmentes rizsital 1 l|The Bridge||1.0|LITER||Tudatos táplálkozás|Egészséges életmód|Bio termékek|Mag és gabonaitalok||||869.00|869.00||||||0.00||||||||HUF|Tudatos táplálkozás > Egészséges életmód > Bio termékek > Mag és gabonaitalok|https://auchan.hu/shop/the-bridge-bio-uht-glutenmentes-rizsital-1-l.p-362163||100% bio, laktózmentes, tejfehérjementes,  gluténmentes, hozzáadott cukor mentes, teljes értékű és hypoallergén fehérjeforrás. Akár táplálékérzékenység miatt, akár egészsége védelmében választja a tejmentes alternatívát. A bio rizsital mindenki számára kiváló megoldást nyújt. Ezt a bio gabonaitalt vegetáriánusok, tejfehérje-allergiások, laktóz- és gluténérzékenyek is nyugodtan fogyaszthatják, hiszen kizárólag növényi alapanyagokból készül. Hozzáadott cukrot, koleszterint nem tartalmaz.|||||Olaszország|||||Energia (kJ / kcal): 277/66; Zsír (g): 1.4000;  Telített zsírsavak  (g): 0.2000; Szénhidrát  (g): 13.0000;  Cukrok  (g): 4.8000; Fehérje (g): 0.5000; Só (g): 0.1000|Energia (kJ / kcal): 277/66; Zsír (g): 1.4000;  Telített zsírsavak  (g): 0.2000; Szénhidrát  (g): 13.0000;  Cukrok  (g): 4.8000; Fehérje (g): 0.5000; Só (g): 0.1000||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33915438/01_1921921_front_131340731.png||||||||||||||származási ország: Olaszország, forgalmazó: ISH Food Kft. Budapest, 1222, Nagytétényi út 112. www.tejhelyettesito.hu, felhasználási javaslat: Használat előtt felrázandó., gyártó és/vagy élelmiszer vállalkozó telephely ország: Olaszország, felhasználási feltételek: Használat előtt felrázandó., oltalom alatt álló földrajzi jelzés: Nem, használt védjegyek: Nem releváns, zsírtartalom fajtája: Növényi eredetű, laktózmentes: Igen, növényi uht ital fajtája: Rizsital, vegán termék: Igen||ISH Food Kft. Budapest, 1222, Nagytétényi út 112. www.tejhelyettesito.hu|||||||||||Forrásvíz; Olasz rizs* (17%); Napraforgó olaj*; Pórsáfrány olaj*; Tengeri só; *= ökológiai||1||362163P||||||||
350844|auchan||||||||2025-10-28|Joya szójaital vanília ízű UHT 1 l|JOYA||1.0|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||889.00|889.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/joya-szojaital-vanilia-izu-uht-1-l.p-350844|||||||Ausztria|Diófélék (mandula, mogyoró, dió, kesudió, brazil dió, pisztácia, makadám, queenslandi dió) és belőlük készült termékek,Szójabab és belőle készült termékek||||Energia (kJ / kcal): 228/54; Zsír (g): 1.7000;  Telített zsírsavak  (g): 0.3000;  Egyszeresen telítetlen zsírsavak  (g): .4000;  Többszörösen telítetlen zsírsavak  (g): 1.1000; Szénhidrát  (g): 6.5000;  Cukrok  (g): 6.4000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.1200|Energia (kJ / kcal): 228/54; Zsír (g): 1.7000;  Telített zsírsavak  (g): 0.3000;  Egyszeresen telítetlen zsírsavak  (g): .4000;  Többszörösen telítetlen zsírsavak  (g): 1.1000; Szénhidrát  (g): 6.5000;  Cukrok  (g): 6.4000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.1200||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33914853/01_110559_front_094113040.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33914859/01_110559_left_094126363.png||||||||||||származási ország: Ausztria, forgalmazó: Real Nature Kft.  1037 Budapest  Seregély köz 13.  www.realnature.hu, gyártó és/vagy élelmiszer vállalkozó telephely ország: Ausztria, oltalom alatt álló eredet megjelölés: Nem, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: Soya, laktózmentes: Nem, növényi uht ital fajtája: Szójaital||Real Nature Kft.  1037 Budapest  Seregély köz 13.  www.realnature.hu|||||||||||Szójaalap 94% (víz, <b>szójabab</b> 7,2%); Cukor; Színező sárgarépa koncentrátum; Stabilizátor: gellángumi; Só; Aroma||1||350844P||||||||
261645|auchan||||||||2025-10-28|Alpro szójaital hozzáadott kalciummal és vitaminokkal 1 l|Alpro||1.0|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||899.00|899.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/alpro-szojaital-hozzaadott-kalciummal-es-vitaminokkal-1-l.p-261645||Az Alpro növényi alapú termékcsaládjának kedvelt itala 100%-ban növényi alapú, vegán, természetes módon laktózmentes. Kalciumforrás és B2-, B12- és D-vitamint tartalmaz.  A lágy italunkhoz felhasznált szójababok gondos és felelősségteljes gazdálkodásból származnak, hogy az esőerdők megmaradhassanak bujának és gyönyörűnek. Hagyjuk meg a fákat a mászásra, meg az ölelgetésre. Hmmm, csak nem megkóstolnád? Jó úton jársz!* *A termék kalciumforrás. A kalcium szükséges a normál csontozat fenntartásához. A jó egészséghez változatos, kiegyensúlyozott étrend és egészséges életmód javasolt. https://www.alpro.com/hu/, https://www.facebook.com/AlproMagyarorszag, https://www.instagram.com/alpro/, https://www.youtube.com/watch?v=KfeMRWi9VvA&list=PLc57pHYnmK3riLR2dysP4svd9mBFVVFqy&index=11|||||Belgium|Szójabab és belőle készült termékek||||Energia (kJ / kcal): 163/39; Zsír (g): 1.8000;  Telített zsírsavak  (g): 0.3000; Szénhidrát  (g): 2.5000;  Cukrok  (g): 2.5000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.0900; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000|Energia (kJ / kcal): 163/39; Zsír (g): 1.8000;  Telített zsírsavak  (g): 0.3000; Szénhidrát  (g): 2.5000;  Cukrok  (g): 2.5000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.0900; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34824902/01_106880_front_175713.png||||||||||||||származási ország: Belgium, forgalmazó: Danone Kft., 1134 Budapest, Váci út 35. 06-80-88-77-88, töltő súly: 1.000, gyártó és/vagy élelmiszer vállalkozó telephely ország: Belgium, laktózmentes: Igen, növényi uht ital fajtája: Szójaital||Danone Kft., 1134 Budapest, Váci út 35. 06-80-88-77-88|||||||||||<b>Szója</b> összetevő (96, 8%) (ivóvíz, hántolt <b>szójabab</b> (8%)); Cukor; Savanyúságot szabályozó anyagok (kálium-foszfátok); Kalcium (kalcium-karbonát); Aroma; Tengeri só; Stabilizátor (gellángumi); B2-vitamin; B12-vitamin; D2-vitamin||1||261645P||||||||
362172|auchan||||||||2025-10-28|The Bridge UHT BIO zabital 1 l|The Bridge||1.0|LITER||Tudatos táplálkozás|Egészséges életmód|Bio termékek|Mag és gabonaitalok||||899.00|899.00||||||0.00||||||||HUF|Tudatos táplálkozás > Egészséges életmód > Bio termékek > Mag és gabonaitalok|https://auchan.hu/shop/the-bridge-uht-bio-zabital-1-l.p-362172||Tejfehérjementes, laktózmentes, hozzáadott cukor mentes. Javasoljuk vega, vegán, laktózmentes, tejfehérjementes diétához, illetve mindenkinek, aki finom és egészséges ételekre vágyik a hétköznapokban is.|||||Olaszország|Szójabab és belőle készült termékek||||Energia (kJ / kcal): 226/54; Zsír (g): 1.9000;  Telített zsírsavak  (g): 0.3000; Szénhidrát  (g): 8.0000;  Cukrok  (g): 6.1000; Fehérje (g): 0.7000; Só (g): 0.0900|Energia (kJ / kcal): 226/54; Zsír (g): 1.9000;  Telített zsírsavak  (g): 0.3000; Szénhidrát  (g): 8.0000;  Cukrok  (g): 6.1000; Fehérje (g): 0.7000; Só (g): 0.0900||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33585711/01_1921923_front_131352410.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/33585714/01_1921923_front_131352410.png||||||||||||származási ország: Olaszország, forgalmazó: ISH Food Kft. Budapest, 1222, Nagytétényi út 112. www.tejhelyettesito.hu, felhasználási javaslat: Használat előtt felrázandó., gyártó és/vagy élelmiszer vállalkozó telephely ország: Olaszország, felhasználási feltételek: Használat előtt felrázandó., oltalom alatt álló földrajzi jelzés: Nem, használt védjegyek: Nem releváns, zsírtartalom fajtája: Növényi eredetű, laktózmentes: Igen, növényi uht ital fajtája: Zabital, vegán termék: Igen||ISH Food Kft. Budapest, 1222, Nagytétényi út 112. www.tejhelyettesito.hu|||||||||||Forrásvíz; <b>Zab</b>* (14%); Napraforgó olaj*; Pórsáfrány olaj*; Tengeri só; *= ökológiai||1||362172P||||||||
778507|auchan||||||||2025-10-28|Riso Scotti zabital kalciummal 1 l|Riso||1.0|LITER||Tudatos táplálkozás|Egészséges életmód|Bio termékek|Mag és gabonaitalok||||929.00|929.00||||||0.00||||||||HUF|Tudatos táplálkozás > Egészséges életmód > Bio termékek > Mag és gabonaitalok|https://auchan.hu/shop/riso-scotti-zabital-kalciummal-1-l.p-778507|||||||Olaszország|||||Energia (kJ / kcal): 202/48; Zsír (g): 0.6000;  Telített zsírsavak  (g): 0.1300;  Ebből koleszterin: .0000; Szénhidrát  (g): 10.0000;  Cukrok  (g): 3.2200; Fehérje (g): 0.8000; Só (g): 0.0300; Kalcium (mg): 120.0000; Nátrium (g): .0400|Energia (kJ / kcal): 202/48; Zsír (g): 0.6000;  Telített zsírsavak  (g): 0.1300;  Ebből koleszterin: .0000; Szénhidrát  (g): 10.0000;  Cukrok  (g): 3.2200; Fehérje (g): 0.8000; Só (g): 0.0300; Kalcium (mg): 120.0000; Nátrium (g): .0400||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34308473/01_332357_front_1738309932.png||||||||||||||származási ország: Olaszország, forgalmazó: Asix Distribution Kft. 1095 Budapest, Soroksári út 160., felhasználási javaslat: Fogyasztás előtt jól rázza fel., gyártó és/vagy élelmiszer vállalkozó telephely ország: Olaszország, oltalom alatt álló eredet megjelölés: Nem, oltalom alatt álló földrajzi jelzés: Nem, másodlagos márka: Riso Scotti, zsírtartalom fajtája: Növényi eredetű, laktózmentes: Igen, növényi uht ital fajtája: Rizsital||Asix Distribution Kft. 1095 Budapest, Soroksári út 160.|||||||||||Víz; <b>Zab</b> (14%); Lithothamnium calcareum alga; Tengeri só||1||778507P||||||||
956207|auchan||||||||2025-10-28|Happy Soya vaníliaízű UHT szójaital 1 l|Happy||1.0|LITER||Friss élelmiszer|Tejtermék, tojás, sajt|Tejek, tejitalok, növényi italok|Növényi UHT italok, szója italok||||939.00|939.00||||||0.00||||||||HUF|Friss élelmiszer > Tejtermék, tojás, sajt > Tejek, tejitalok, növényi italok > Növényi UHT italok, szója italok|https://auchan.hu/shop/happy-soya-vaniliaizu-uht-szojaital-1-l.p-956207||Happy Vanília szójaital UHT 1L|||||Ausztria|||||Energia (kJ / kcal): 232/55; Zsír (g): 1.7000;  Telített zsírsavak  (g): 0.2000;  Egyszeresen telítetlen zsírsavak  (g): 0.4000;  Többszörösen telítetlen zsírsavak  (g): 1.0000; Szénhidrát  (g): 6.7000;  Cukrok  (g): 6.6000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.1200; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000|Energia (kJ / kcal): 232/55; Zsír (g): 1.7000;  Telített zsírsavak  (g): 0.2000;  Egyszeresen telítetlen zsírsavak  (g): 0.4000;  Többszörösen telítetlen zsírsavak  (g): 1.0000; Szénhidrát  (g): 6.7000;  Cukrok  (g): 6.6000; Rost  (g): 0.5000; Fehérje (g): 3.0000; Só (g): 0.1200; D vitamin (µg): 0.7500; Riboflavin (mg): 0.2100; B 12 vitamin (µg): 0.3800; Kalcium (mg): 120.0000||||||||||||||||||||||||||||||||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34293774/01_3959758_front_162054374.png||https://ahuazurewebblob0-d2geauehc9ekc7ey.z01.azurefd.net/auchan/cache/product_medium/product/34293783/01_3959758_left_162101670.png||||||||||||származási ország: Ausztria, forgalmazó: Real Nature Kft. 1037 Budapest Seregély köz 13., gyártó és/vagy élelmiszer vállalkozó telephely ország: Ausztria, felhasználási feltételek: Felbontás után hűtőben tárolandó, oltalom alatt álló földrajzi jelzés: Nem, laktózmentes: Igen, növényi uht ital fajtája: Szójaital||Real Nature Kft. 1037 Budapest Seregély köz 13.|||||||||||Víz; <b>Szója</b>bab 6,8%; Cukor; Kalcium-karbonát; Só; Stabilizátorok: gellángumi, karragén; Savanyúságot szabályozó anyag: dikálium-foszfát; Aroma; Színezék: karotinok; D-vitamin; B12-vitamin; Riboflavin||1||956207P||||||||
