web-scraper-order,web-scraper-start-url,links,links-href,brand,tittle,rating,review count,price,mrp,discount
"1756114204-1","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","TANKHIPrinted Co-Ord SetSizes: Rs. 3999","https://www.myntra.com/co-ords/tankhi/tankhi-floral-printed-top--trousers-/30501233/buy","TANKHI","Floral Printed Top & Trousers","","","₹ 3999","",""
"1756114211-2","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KOTTY BIZwearNotched Lapel Collar Co-OrdsSizes: XXLRs. 599Rs. 3999(85% OFF)","https://www.myntra.com/co-ords/kotty+bizwear/kotty-bizwear-pink-notched-lapel-collar-blazer--mid-rise-trouser/26491112/buy","KOTTY BIZwear","Pink Notched Lapel Collar Blazer & Mid Rise Trouser","4","43 Ratings","₹599","₹3999","(85% OFF)"
"1756114218-3","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","WESTHOODT-Shirt With Trousers Co-OrdsSizes: SRs. 686Rs. 4899(85% OFF)Only Few Left!","https://www.myntra.com/co-ords/westhood/westhood-short-sleeves-round-neck-t-shirt-with-trousers-co-ords/28025548/buy","WESTHOOD","Short Sleeves Round Neck T-Shirt With Trousers Co-Ords","4.3","16 Ratings","₹686","₹4899","(85% OFF)"
"1756114225-4","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SINGNIEmbroidered Cotton Co-ords SetSizes: XLRs. 899Rs. 4999(82% OFF)","https://www.myntra.com/co-ords/singni/singni-embroidered-pure-cotton-tunic-with-palazzos/33979471/buy","SINGNI","Embroidered Pure Cotton Tunic with Palazzos","5","5 Ratings","₹899","₹4999","(82% OFF)"
"1756114232-5","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","VarangaAbstract Printed Tunic & PalazzosSizes: MRs. 999Rs. 6999(Rs. 6000 OFF)","https://www.myntra.com/co-ords/varanga/varanga-pink--brown-abstract-printed-a-line-tunic-with-palazzos/24362516/buy","Varanga","Pink & Brown Abstract Printed A-Line Tunic With Palazzos","3.2","60 Ratings","₹999","₹6999","(Rs. 6000 OFF)"
"1756114239-6","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","WineRedPure Cotton Co-Ords SetSizes: XXLRs. 699Rs. 3499(80% OFF)","https://www.myntra.com/co-ords/winered/winered-floral-printed-shirt-collar-long-sleeves-pure-cotton-shirt-with-trouser/31350345/buy","WineRed","Floral Printed Shirt Collar Long Sleeves Pure Cotton Shirt With Trouser","3.3","7 Ratings","₹699","₹3499","(80% OFF)"
"1756114246-7","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KALINIPlus Size Printed Co-OrdsSizes: 7XLRs. 1189Rs. 6999(83% OFF)","https://www.myntra.com/co-ords/kalini/kalini-plus-size-printed-pure-cotton-tunic-with-trouser/30127527/buy","KALINI","Plus Size Printed Pure Cotton Tunic With Trouser","4.3","12 Ratings","₹1189","₹6999","(83% OFF)"
"1756114253-8","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SelviaShoulder Straps Co-OrdsSizes: MRs. 551Rs. 4918(88% OFF)","https://www.myntra.com/co-ords/selvia/selvia-shoulder-straps-casual-crop-top-with-trousers-/29983945/buy","Selvia","Shoulder Straps Casual Crop Top With Trousers","3.7","13 Ratings","₹551","₹4918","(88% OFF)"
"1756114260-9","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","FLAVIA CREATIONTunic & Trousers Co-Ord SetSizes: MRs. 989Rs. 5499(82% OFF)","https://www.myntra.com/co-ords/flavia+creation/flavia-creation-printed-pure-cotton-tunic--trousers-co-ord-set/33624289/buy","FLAVIA CREATION","Printed Pure Cotton Tunic & Trousers Co-Ord Set","","","₹989","₹5499","(82% OFF)"
"1756114267-10","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KOTTY BIZwearShawl Neck Co-OrdsSizes: SRs. 599Rs. 3999(85% OFF)","https://www.myntra.com/co-ords/kotty+bizwear/kotty-bizwear-shawl-neck-coat-with-trouser/25873678/buy","KOTTY BIZwear","Shawl Neck Coat With Trouser","4.3","179 Ratings","₹599","₹3999","(85% OFF)"
"1756114274-11","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","WESTHOODT-shirt & Trousers Co-Ords SetSizes: MRs. 686Rs. 4899(85% OFF)","https://www.myntra.com/co-ords/westhood/westhood-round-neck-short-sleeves-t-shirt--trousers-co-ords-set/28025550/buy","WESTHOOD","Round Neck Short Sleeves T-shirt & Trousers Co-Ords Set","4.3","106 Ratings","₹686","₹4899","(85% OFF)"
